lat,long,name,age,rich,smoky
55.63607,-6.14859,Laphroig,10,1.8,9.5
57.2991207,-6.3499115,Talisker,18,7.5,8.5
56.948119,-4.28222,Dalwhinnie,15,2.6,5
57.4530627,-3.121514,Glenfiddich,12,3.8,2
57.823985,-4.0751,Glenmorangie,10,5.9,4.1
57.34353,-3.336582,Glenlivet,18,7.9,1.3
55.639253,-6.109187,Ardbeg,10,0.5,9.7
55.857529,-6.111703,Caol_Ila,12,3.6,9.2
57.2991207,-6.3499115,Talisker,10,4.3,8.7
55.6467857,-6.1385546,Lagavulin,16,8.6,9.6
55.6467857,-6.1385546,Lagavulin_Distlillers_Edition,12,9.6,9.1
58.9662148,-2.9531682,Highland_Park,12,6.2,7.8
56.4150897,"-5.4718415,17",Oban,14,4.8,5.9
57.4491058,-3.1101522,The_Singleton_of_Glendullan,12,5.5,5
57.4199099,-3.4158879,Craigganmore,12,6.4,5.8
56.4150897,"-5.4718415,17",Oban_Distillers_Edition,14,7.2,5.8
57.4199099,-3.4158879,Craigganmore_Distillers_Edition,19,8.3,5.8
57.4392713,-3.1309754,The_Singleton_of_Dufftown,12,7.2,5
57.4704520,-3.3501310,Cardhu,12,3.1,4.4
58.0447472,-3.9239664,Clynelish,14,5.6,4.7
57.0254581,-3.2195250,Royal_Lochnager,12,3.3,4.1
57.6088672,-3.3185310,Glen Elgin,12,4.2,4.1
55.9228920,-4.4388590,Autochentoshan,10,2.3,3.6
55.8879965,-2.8934825,Glenkinchie,12,1.4,3.4
55.8879965,-2.8934825,Glenkinchie_Distillers_Edition,10,6.2,3.2
57.4530627,-3.1215140,Balvenie_Double_Wood,12,8.0,3.5
57.4860563,-3.2067401,Macallan_Fine_Oak,10,7.6,3.1
55.8326871,-5.9764339,Jura,10,2.2,2.3
57.4547482,-3.3364111,Knockando,12,2.2,1.6
55.8809596,-6.1219845,Bunnahabhain,12,6.2,1.8